"Entrez_id","Gene_symbol"
"10926","DBF4"
"1602","DACH1"
"585","BBS4"
"91133","L3MBTL4"
"7083","TK1"
"56204","KIAA1370"
"23171","GPD1L"
"85004","RERG"
"10411","RAPGEF3"
"130888","FBXO36"
"10186","LHFP"
"285368","PRRT3"
"8872","CDC123"
"57659","ZBTB4"
"23175","LPIN1"
"64084","CLSTN2"
"57658","CALCOCO1"
"8821","INPP4B"
"79780","CCDC82"
"7090","TLE3"
"146562","C16orf71"
"85377","MICALL1"
"27124","INPP5J"
"3068","HDGF"
"55248","TMEM206"
"9135","RABEP1"
"119032","C10orf32"
"10809","STARD10"
"56521","DNAJC12"
"9620","CELSR1"
"122970","ACOT4"
"54858","PGPEP1"
"56888","KCMF1"
"57728","WDR19"
"79624","C6orf211"
"26227","PHGDH"
"4059","BCAM"
"10940","POP1"
"11113","CIT"
"89846","FGD3"
"284390","ZNF763"
"4010","LMX1B"
"10612","TRIM3"
"4240","MFGE8"
"55793","FAM63A"
"29015","SLC43A3"
"54704","PDP1"
"55253","TYW1"
"29068","ZBTB44"
"79191","IRX3"
"63908","NAPB"
"4983","OPHN1"
"115939","C16orf42"
"5198","PFAS"
"145853","C15orf61"
"10933","MORF4L1"
"1729","DIAPH1"
"10947","AP3M2"
"84671","ZNF347"
"5947","RBP1"
"22858","ICK"
"10901","DHRS4"
"51320","MEX3C"
"221294","NT5DC1"
"8723","SNX4"
"2817","GPC1"
"55668","C14orf118"
"2512","FTL"
"5999","RGS4"
"123207","C15orf40"
"91227","GGTLC2"
"171017","ZNF384"
"65986","ZBTB10"
"84164","ASCC2"
"8315","BRAP"
"9945","GFPT2"
"23530","NNT"
"253725","FAM21C"
"440352","RUNDC2C"
"5719","PSMD13"
"5551","PRF1"
"23421","ITGB3BP"
"51382","ATP6V1D"
"8495","PPFIBP2"
"56886","UGGT1"
"3431","SP110"
"51307","FAM53C"
"9110","MTMR4"
"10346","TRIM22"
"10277","UBE4B"
"163087","ZNF383"
"130814","PQLC3"
"55374","TMCO6"
"27340","UTP20"
"29907","SNX15"
"4052","LTBP1"
"8269","TMEM187"
"4324","MMP15"
"79958","DENND1C"
"375341","C3orf62"
"8780","RIOK3"
"2186","BPTF"
"26086","GPSM1"
"55829","SELS"
"284358","MAMSTR"
"84289","ING5"
"552889","ATXN7L3B"
"57621","ZBTB2"
"51400","PPME1"
"134218","DNAJC21"
"6205","RPS11"
"23317","DNAJC13"
"79177","ZNF576"
"56681","SAR1A"
"391634","HSP90AB2P"
"134429","STARD4"
"147968","CAPN12"
"64393","ZMAT3"
"26240","FAM50B"
"124565","SLC38A10"
"10497","UNC13B"
"5525","PPP2R5A"
"79180","EFHD2"
"112869","CCDC101"
"54531","MIER2"
"8125","ANP32A"
"64434","NOM1"
"129607","CMPK2"
"26958","COPG2"
"10732","TCFL5"
"6675","UAP1"
"5998","RGS3"
"79854","NCRNA00115"
"84662","GLIS2"
"152877","FAM53A"
"3280","HES1"
"8629","JRK"
"151188","ARL6IP6"
"84809","CROCCL1"
"283464","GXYLT1"
"79839","CCDC102B"
"51750","RTEL1"
"2309","FOXO3"
"348995","NUP43"
"340385","ZNF517"
"10312","TCIRG1"
"79887","PLBD1"
"55785","FGD6"
"79047","KCTD15"
"22930","RAB3GAP1"
"4790","NFKB1"
"5476","CTSA"
"54621","VSIG10"
"79618","HMBOX1"
"51654","CDK5RAP1"
"7867","MAPKAPK3"
"9112","MTA1"
"65980","BRD9"
"375484","C5orf25"
"54407","SLC38A2"
"1739","DLG1"
"1387","CREBBP"
"7771","ZFP112"
"64781","CERK"
"50807","ASAP1"
"3636","INPPL1"
"83693","HSDL1"
"10645","CAMKK2"
"126326","GIPC3"
"523","ATP6V1A"
"53947","A4GALT"
"55677","IWS1"
"6398","SECTM1"
"11161","C14orf1"
"4300","MLLT3"
"9913","SUPT7L"
"51319","RSRC1"
"728609","SDHAP3"
"3920","LAMP2"
"10311","DSCR3"
"8501","SLC43A1"
"138050","HGSNAT"
"4848","CNOT2"
"91120","ZNF682"
"84279","C2orf7"
"83479","DDX59"
"84525","HOPX"
"5452","POU2F2"
"91057","CCDC34"
"10621","POLR3F"
"9507","ADAMTS4"
"29995","LMCD1"
"129563","DIS3L2"
"4594","MUT"
"8505","PARG"
"79692","ZNF322A"
"55608","ANKRD10"
"7014","TERF2"
"57185","NIPAL3"
"51366","UBR5"
"4735","SEPT2"
"7266","DNAJC7"
"95","ACY1"
"2828","GPR4"
"1798","DPAGT1"
"79053","ALG8"
"2009","EML1"
"23509","POFUT1"
"23114","NFASC"
"158880","USP51"
"126282","TNFAIP8L1"
"57570","TRMT5"
"1891","ECH1"
"81537","SGPP1"
"11190","CEP250"
"1734","DIO2"
"5876","RABGGTB"
"9711","KIAA0226"
"6940","ZNF354A"
"55290","BRF2"
"65083","NOL6"
"7862","BRPF1"
"51241","COX16"
"90317","ZNF616"
"201163","FLCN"
"54707","GPN2"
"84909","C9orf3"
"4354","MPP1"
"10795","ZNF268"
"100133941","CD24"
"84734","FAM167B"
"25845","LOC25845"
"124930","ANKRD13B"
"57717","PCDHB16"
"57419","SLC24A3"
"10168","ZNF197"
"5744","PTHLH"
"27352","SGSM3"
"84532","ACSS1"
"7711","ZNF155"
"23392","KIAA0368"
"79913","ACTR5"
"378","ARF4"
"51167","CYB5R4"
"85363","TRIM5"
"401884","MGC57346"
"56850","GRIPAP1"
"7915","ALDH5A1"
"50854","C6orf48"
"5018","OXA1L"
"9612","NCOR2"
"9920","KBTBD11"
"374655","ZNF710"
"55647","RAB20"
"539","ATP5O"
"4711","NDUFB5"
"57661","PHRF1"
"93487","MAPK1IP1L"
"79829","NAA40"
"3669","ISG20"
"7852","CXCR4"
"9771","RAPGEF5"
"65123","INTS3"
"63910","SLC17A9"
"5886","RAD23A"
"28990","ASTE1"
"80007","C10orf88"
"3673","ITGA2"
"22931","RAB18"
"8541","PPFIA3"
"3107","HLA-C"
"10147","SFRS14"
"25929","GEMIN5"
"23658","LSM5"
"1009","CDH11"
"58485","TRAPPC1"
"51104","FAM108B1"
"128387","TATDN3"
"220988","HNRNPA3"
"55146","ZDHHC4"
"9883","POM121"
"57633","LRRN1"
"57120","GOPC"
"57118","CAMK1D"
"10390","CEPT1"
"153129","SLC38A9"
"25814","ATXN10"
"26039","SS18L1"
"392617","ELFN1"
"92906","HNRPLL"
"9879","DDX46"
"114769","CARD16"
"113278","C20orf54"
"6474","SHOX2"
"10928","RALBP1"
"9425","CDYL"
"8828","NRP2"
"7846","TUBA1A"
"3216","HOXB6"
"3784","KCNQ1"
"27077","B9D1"
"23554","TSPAN12"
"80235","PIGZ"
"133686","C5orf33"
"6908","TBP"
"123688","AGPHD1"
"51187","RSL24D1"
"79707","NOL9"
"140901","STK35"
"389289","C5orf39"
"7541","ZFP161"
"2030","SLC29A1"
"28227","PPP2R3B"
"6640","SNTA1"
"100272147","MTCP1NB"
"5612","PRKRIR"
"23080","AVL9"
"84993","UBL7"
"9013","TAF1C"
"79755","ZNF750"
"441818","WBP11P1"
"55622","TTC27"
"144363","LYRM5"
"83874","TBC1D10A"
"337867","UBAC2"
"9986","RCE1"
"92181","UBTD2"
"64763","ZNF574"
"5894","RAF1"
